Year,Best Genre,Worst Genre
1960,Adventure,Action
1961,Mystery,Action
1962,Western,Adventure
1963,Adventure,Romance
1964,Action,Science Fiction
1965,Crime,Western
1966,Animation,Science Fiction
1967,Mystery,Science Fiction
1968,Adventure,Action
1969,Adventure,Action
1970,Western,Crime
1971,Action,Adventure
1972,Action,Science Fiction
1973,Romance,Adventure
1974,Documentary,Action
1975,Adventure,Action
1976,Documentary,Action
1977,Action,Music
1978,Action,Science Fiction
1979,Music,Science Fiction
1980,Action,Western
1981,Music,Science Fiction
1982,Animation,Science Fiction
1983,Family,Science Fiction
1984,Romance,Action
1985,Family,Adventure
1986,Family,Action
1987,Action,Drama
1988,Adventure,Science Fiction
1989,Western,Thriller
1990,Western,Action
1991,Foreign,Action
1992,Western,Science Fiction
1993,Documentary,Science Fiction
1994,Documentary,Science Fiction
1995,Mystery,Action
1996,Foreign,Family
1997,Thriller,Action
1998,Mystery,Science Fiction
1999,Foreign,Science Fiction
2000,Adventure,Science Fiction
2001,Documentary,Science Fiction
2002,Western,Action
2003,Western,Action
2004,Foreign,Western
2005,Foreign,Adventure
2006,Action,Comedy
2007,Action,Horror
2008,Documentary,Action
2009,Adventure,Crime
2010,Adventure,Action
2011,Western,Action
2012,Adventure,Science Fiction
2013,Adventure,Action
2014,Action,Drama
2015,Family,Action
